Type,tranid,entity,Vendor Internal Id,reference no,terms,Currency,exchangerate,duedate,postingperiod,subsidiary,memo,trandate,purchaseItemline_itemRef,purchaseItemline_quantity,purchaseItemLine_rate,usertotal,purchaseItemLine_location
Bill,1721459,A.J. ROD COMPANY LTD.,,1721459,2,US Dollar,1.00,01/06/2023,Dec 2022,Sullivan Process Controls,,12/7/2022,Open AP Item,1,57.83  ,57.83  ,5
Bill,IN004274735,A.W. CHESTERTON COMPANY,,IN004274735,2,US Dollar,1.00,11/24/2022,Oct 2022,Sullivan Process Controls,,10/25/2022,Open AP Item,1,"1,597.52  ","1,597.52  ",3
Bill,IN004276605,A.W. CHESTERTON COMPANY,,IN004276605,2,US Dollar,1.00,12/08/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,"1,962.45  ","1,962.45  ",3
Bill,IN004276835,A.W. CHESTERTON COMPANY,,IN004276835,2,US Dollar,1.00,12/09/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,"6,509.43  ","6,509.43  ",3
Bill,IN004276811,A.W. CHESTERTON COMPANY,,IN004276811,2,US Dollar,1.00,12/09/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,"2,423.81  ","2,423.81  ",5
Bill,IN004276785,A.W. CHESTERTON COMPANY,,IN004276785,2,US Dollar,1.00,12/09/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,336.43  ,336.43  ,5
Bill,IN004277370,A.W. CHESTERTON COMPANY,,IN004277370,2,US Dollar,1.00,12/14/2022,Nov 2022,Sullivan Process Controls,,11/14/2022,Open AP Item,1,"2,322.60  ","2,322.60  ",3
Bill,IN004277354,A.W. CHESTERTON COMPANY,,IN004277354,2,US Dollar,1.00,12/14/2022,Nov 2022,Sullivan Process Controls,,11/14/2022,Open AP Item,1,"1,393.56  ","1,393.56  ",3
Bill,IN004276816,A.W. CHESTERTON COMPANY,,IN004276816,2,US Dollar,1.00,12/14/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,"4,426.59  ","4,426.59  ",3
Bill,IN004278489,A.W. CHESTERTON COMPANY,,IN004278489,2,US Dollar,1.00,12/22/2022,Nov 2022,Sullivan Process Controls,,11/22/2022,Open AP Item,1,"5,574.24  ","5,574.24  ",3
Bill,IN004279674,A.W. CHESTERTON COMPANY,,IN004279674,2,US Dollar,1.00,01/01/2023,Dec 2022,Sullivan Process Controls,,12/2/2022,Open AP Item,1,22.84  ,22.84  ,5
Bill,IN004280909,A.W. CHESTERTON COMPANY,,IN004280909,2,US Dollar,1.00,01/12/2023,Dec 2022,Sullivan Process Controls,,12/13/2022,Open AP Item,1,632.52  ,632.52  ,3
Bill,IN004281801,A.W. CHESTERTON COMPANY,,IN004281801,2,US Dollar,1.00,01/19/2023,Dec 2022,Sullivan Process Controls,,12/20/2022,Open AP Item,1,764.25  ,764.25  ,5
Bill,622203986,ADP PAYROLL,,622203986,23,US Dollar,1.00,01/06/2023,Dec 2022,Sullivan Process Controls,,12/30/2022,Open AP Item,1,305.67  ,305.67  ,6
Bill,2467787-11-2022,ADP SCREENING & SELECTION SERVICES,,2467787-11-2022,2,US Dollar,1.00,12/26/2022,Nov 2022,Sullivan Process Controls,,11/28/2022,Open AP Item,1,55.04  ,55.04  ,6
Bill,403319962-12,ADT SECURITY,2003,403319962-12,21,US Dollar,1.00,01/04/2023,Dec 2022,Sullivan Process Controls,,12/15/2022,Open AP Item,1,56.28  ,56.28  ,4
Bill,9132190709,AIRGAS USA,,9132190709,2,US Dollar,1.00,12/17/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,395.25  ,395.25  ,5
Bill,1913052,AIV L.P.,2010,1913052,2,US Dollar,1.00,12/09/2022,Nov 2022,Sullivan Process Controls,,11/9/2022,Open AP Item,1,"1,764.00  ","1,764.00  ",4
Bill,1913054,AIV L.P.,2010,1913054,2,US Dollar,1.00,12/09/2022,Nov 2022,Sullivan Process Controls,,11/9/2022,Open AP Item,1,"1,264.00  ","1,264.00  ",4
Bill,1913421,AIV L.P.,2010,1913421,2,US Dollar,1.00,12/10/2022,Nov 2022,Sullivan Process Controls,,11/10/2022,Open AP Item,1,"10,426.00  ","10,426.00  ",4
Bill,1919935,AIV L.P.,2010,1919935,2,US Dollar,1.00,01/18/2023,Dec 2022,Sullivan Process Controls,,12/19/2022,Open AP Item,1,"19,215.00  ","19,215.00  ",4
Bill,sinv220085466,ALLREDI,,sinv220085466,2,US Dollar,1.00,12/03/2022,Nov 2022,Sullivan Process Controls,,11/3/2022,Open AP Item,1,"1,273.00  ","1,273.00  ",3
Bill,2-2365530,ANN HARRIS BENNETT,,2-2365530,2,US Dollar,1.00,01/31/2023,Nov 2022,Sullivan Process Controls,,11/4/2022,Open AP Item,1,467.88  ,467.88  ,5
Bill,14178,ARK-LA-TEX PALLET SALES,,14178,2,US Dollar,1.00,01/27/2023,Dec 2022,Sullivan Process Controls,,12/28/2022,Open AP Item,1,95.00  ,95.00  ,3
Bill,2559884703,AT&T,,2559884703,2,US Dollar,1.00,01/10/2023,Dec 2022,Sullivan Process Controls,,12/11/2022,Open AP Item,1,844.41  ,844.41  ,3
Bill,287321471708X01012023,AT&T Mobility,,287321471708X01012023,21,US Dollar,1.00,01/18/2023,Dec 2022,Sullivan Process Controls,,12/23/2022,Open AP Item,1,695.01  ,695.01  ,3
Bill,7510078199,AXALTA  POWDER COATING,,7510078199,2,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/21/2022,Open AP Item,1,330.00  ,330.00  ,3
Bill,7510091404,AXALTA  POWDER COATING,,7510091404,2,US Dollar,1.00,01/26/2023,Dec 2022,Sullivan Process Controls,,12/27/2022,Open AP Item,1,330.00  ,330.00  ,3
Bill,S2956254.001,BPS SUPPLY GROUP.,,S2956254.001,2,US Dollar,1.00,12/08/2022,Nov 2022,Sullivan Process Controls,,11/8/2022,Open AP Item,1,"7,407.00  ","7,407.00  ",3
Bill,S2979540.001,BPS SUPPLY GROUP.,2052,S2979540.001,2,US Dollar,1.00,01/11/2023,Dec 2022,Sullivan Process Controls,,12/12/2022,Open AP Item,1,"7,239.00  ","7,239.00  ",4
Bill,S2984216.001,BPS SUPPLY GROUP.,,S2984216.001,2,US Dollar,1.00,01/11/2023,Dec 2022,Sullivan Process Controls,,12/12/2022,Open AP Item,1,"2,792.00  ","2,792.00  ",5
Bill,12550360,Bridgefield Casualty Insurance Company,,12550360,21,US Dollar,1.00,01/12/2023,Dec 2022,Sullivan Process Controls,,12/22/2022,Open AP Item,1,"1,193.07  ","1,193.07  ",6
Bill,S-101122,CADDO SIGNS LLC,,S-101122,2,US Dollar,1.00,11/10/2022,Nov 2022,Sullivan Process Controls,,11/10/2022,Open AP Item,1,910.00  ,910.00  ,3
Bill,S-51906,CADDO SIGNS LLC,,S-51906,2,US Dollar,1.00,11/30/2022,Nov 2022,Sullivan Process Controls,,11/30/2022,Open AP Item,1,289.41  ,289.41  ,3
Bill,BarStock,CAPITAL ONE,,351,21,US Dollar,1.00,12/29/2022,Dec 2022,Sullivan Process Controls,,12/29/2022,Open AP Item,1,"7,449.10  ","7,449.10  ",3
Bill,JF,CAPITAL ONE,,JF,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,"28,118.50  ","28,118.50  ",6
Bill,CW,CAPITAL ONE,,CW,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,"14,076.64  ","14,076.64  ",3
Bill,BS,CAPITAL ONE,2064,BS,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,"5,674.52  ","5,674.52  ",4
Bill,LR,CAPITAL ONE,,LR,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,"1,102.13  ","1,102.13  ",5
Bill,FG,CAPITAL ONE,,FG,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,519.73  ,519.73  ,5
Bill,HR,CAPITAL ONE,2064,HR,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,405.00  ,405.00  ,4
Bill,LR,CAPITAL ONE,,LR,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,311.76  ,311.76  ,5
Bill,FG,CAPITAL ONE,,FG,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,291.37  ,291.37  ,5
Bill,JK,CAPITAL ONE,2064,JK,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,197.50  ,197.50  ,4
Bill,CC,CAPITAL ONE,2064,CC,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,137.41  ,137.41  ,4
Bill,HR,CAPITAL ONE,,HR,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,124.58  ,124.58  ,3
Bill,JK,CAPITAL ONE,,JK,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,123.16  ,123.16  ,5
Bill,629928,"CC GASKET & FASTENER, INC",2068,629928,2,US Dollar,1.00,12/04/2022,Nov 2022,Sullivan Process Controls,,11/4/2022,Open AP Item,1,525.75  ,525.75  ,4
